subject_name,dice,precision,recall,volum_diff
sub-r031s015_ses-1_space-MNI152NLin2009aSym,0.65215087,0.6309157509157509,0.6749216300940439,445
sub-r015s018_ses-1_space-MNI152NLin2009aSym,0.0005627462,1.0,0.0005627462014631,1776
sub-r009s092_ses-1_space-MNI152NLin2009aSym,0.607727,0.5913329676357653,0.6252900232018561,99
sub-r009s067_ses-1_space-MNI152NLin2009aSym,0.45722833,0.3922162906836576,0.5481060788371758,8258
sub-r010s024_ses-1_space-MNI152NLin2009aSym,0.67175925,0.5689655172413793,0.8203389830508474,391
sub-r002s007_ses-1_space-MNI152NLin2009aSym,0.86987925,0.8026442051391406,0.9494261571446588,1450
sub-r028s008_ses-1_space-MNI152NLin2009aSym,0.81153125,0.7249447290939762,0.921609633290264,20366
sub-r009s018_ses-1_space-MNI152NLin2009aSym,0.20666666,0.9215686274509804,0.1175,349
sub-r017s116_ses-1_space-MNI152NLin2009aSym,0.8039893,0.7266057308445212,0.899824387264259,12489
sub-r038s071_ses-1_space-MNI152NLin2009aSym,0.7967073,0.965646839961788,0.678079350368507,33739
sub-r038s064_ses-1_space-MNI152NLin2009aSym,0.44154242,0.8568943018703784,0.2974482862751019,4324
sub-r001s004_ses-1_space-MNI152NLin2009aSym,0.63952744,0.6918347141889427,0.5945812807881773,6278
sub-r002s009_ses-1_space-MNI152NLin2009aSym,0.864519,0.8115305638919602,0.9249131397504906,7761
sub-r019s004_ses-1_space-MNI152NLin2009aSym,0.71474975,0.7192416173670437,0.7103164626972235,1234
sub-r024s014_ses-1_space-MNI152NLin2009aSym,0.36963144,0.8659058487874465,0.2350435624394966,3763
sub-r042s030_ses-1_space-MNI152NLin2009aSym,0.727734,0.7034109208022251,0.7538437401945404,457
sub-r015s010_ses-1_space-MNI152NLin2009aSym,0.7555627,0.8247244393766628,0.6971069667325269,9633
sub-r038s061_ses-1_space-MNI152NLin2009aSym,0.53508383,0.5903963846371708,0.4892497806077675,33578
sub-r004s011_ses-1_space-MNI152NLin2009aSym,0.85605294,0.8570844562880416,0.8550260554338797,159
sub-r045s003_ses-1_space-MNI152NLin2009aSym,0.8459878,0.8924180327868853,0.8041649569142388,964
sub-r048s016_ses-1_space-MNI152NLin2009aSym,0.8899943,0.8647345759847569,0.9167746287353984,16862
sub-r052s016_ses-1_space-MNI152NLin2009aSym,0.77108943,0.6824729891956782,0.8862042088854248,1532
sub-r001s009_ses-1_space-MNI152NLin2009aSym,0.59943706,0.5473831775700935,0.6624816197262753,1859
sub-r002s002_ses-1_space-MNI152NLin2009aSym,0.8639414,0.8893867264071689,0.8399153737658674,1893
sub-r004s007_ses-1_space-MNI152NLin2009aSym,0.67667407,0.6030190468663558,0.7708628005657708,2755
sub-r009s120_ses-1_space-MNI152NLin2009aSym,0.13110307,0.2693726937269373,0.0873205741626794,565
sub-r009s121_ses-1_space-MNI152NLin2009aSym,0.47036183,0.8767908309455588,0.3217665615141956,602
sub-r031s027_ses-1_space-MNI152NLin2009aSym,0.75301784,0.6543624161073825,0.8868675383740762,625
sub-r047s016_ses-1_space-MNI152NLin2009aSym,0.05949576,0.8694158075601375,0.0308611856550378,7907
sub-r009s037_ses-1_space-MNI152NLin2009aSym,0.38935044,0.2685124775729897,0.7080645161290322,15224
sub-r046s012_ses-1_space-MNI152NLin2009aSym,0.62374765,0.8011126564673157,0.5107514963422745,1635
sub-r011s031_ses-1_space-MNI152NLin2009aSym,0.6885359,0.5898345153664303,0.8275290215588723,243
sub-r009s123_ses-1_space-MNI152NLin2009aSym,0.40600753,0.4852980132450331,0.3490853658536585,1473
sub-r001s017_ses-1_space-MNI152NLin2009aSym,0.45902863,0.5857687420584498,0.3775593775593776,868
sub-r010s026_ses-1_space-MNI152NLin2009aSym,0.7136505,0.5682944090587403,0.959378733572282,576
sub-r009s007_ses-1_space-MNI152NLin2009aSym,0.72369385,0.6792088232613254,0.7744174928810459,13488
sub-r034s037_ses-1_space-MNI152NLin2009aSym,0.31355932,0.192266380236305,0.8523809523809524,2163
sub-r038s010_ses-1_space-MNI152NLin2009aSym,0.7728245,0.6526189042745334,0.9475524475524476,517
sub-r038s074_ses-1_space-MNI152NLin2009aSym,0.11498708,0.3082191780821918,0.0715421303656597,483
sub-r038s041_ses-1_space-MNI152NLin2009aSym,0.5848214,0.8651841556636554,0.4418026969481902,1379
sub-r011s021_ses-1_space-MNI152NLin2009aSym,0.72029704,0.6008230452674898,0.9012345679012346,81
sub-r018s001_ses-1_space-MNI152NLin2009aSym,0.8669222,0.8025501116734047,0.9425260641476858,5253
sub-r003s004_ses-1_space-MNI152NLin2009aSym,0.9034639,0.9064889497742428,0.9004596200844257,958
sub-r038s016_ses-1_space-MNI152NLin2009aSym,0.4153657,0.8998935037273695,0.270054330457015,4380
sub-r040s028_ses-1_space-MNI152NLin2009aSym,0.8741199,0.949864679000843,0.8095636244464425,35155
sub-r039s002_ses-1_space-MNI152NLin2009aSym,0.27839378,0.8823529411764706,0.1654215581643543,2284
sub-r052s029_ses-1_space-MNI152NLin2009aSym,0.23438881,0.1436619718309859,0.6381135707410972,3576
sub-r024s018_ses-1_space-MNI152NLin2009aSym,0.77268493,0.8122336136389817,0.7368201055436543,1777
sub-r004s032_ses-1_space-MNI152NLin2009aSym,0.9166958,0.9039803247648645,0.9297749835947589,2696
sub-r009s090_ses-1_space-MNI152NLin2009aSym,0.034785934,0.110576923076923,0.0208995910949568,1785
sub-r048s034_ses-1_space-MNI152NLin2009aSym,0.56069976,0.7317190699915673,0.454504639329542,5063
